GLOSS number,Station,Country,Responsible country,Latitude (+ve N),Longitude (+ve E)
194,Cananeia,Brazil,Brazil,-25.01666,-47.925
189,Capitan Prat Base (Antarctica),Chile,Chile,-62.29,-59.38
52,Carnarvon,Australia,Australia,-24.9,113.65
207,Cartagena,Colombia,Colombia,10.4,-75.55
246,Cascais,Portugal,Portugal,38.4167,-9.2499
278,Casey,Australia,Australia,-66.28333,110.53333
330,Castletownbere,Ireland,Ireland,51.65,-9.90333
202,Cayenne,French Guiana,France,4.85,-52.28333
249,Ceuta (Spanish N. Africa),Spain,Spain,35.54,-5.19
337,Chabahar,Iran,,25.3,60.6
128,Chatham Is.,New Zealand,New Zealand,-43.95,-176.55
293,Chendering/Kuala Terengganu,Malaysia,Malaysia,5.26666,103.18333
103,Chichijima,Japan,Japan,27.08333,142.18333
36,Chittagong,Bangladesh,Bangladesh,22.33333,91.83333
47,Christmas Is.,Australia,Australia,-10.41666,105.66666
146,"Christmas Is., Line Is.",Kiribati,U.S.A.,1.98333,-157.48333
116,"Chuuk Atoll, Caroline Is.",Fed. Micronesia,U.S.A.,7.45,151.85
291,Cilacap,Indonesia,Indonesia,-7.56666,108.98333
165,Clipperton Is.,France,France,10.28333,-109.21666
32,Cochin,India,India,9.96666,76.26666
208,Coco Solo,Panama,Panama,9.36666,-79.88333
46,Cocos Is. (Keeling),Australia,Australia,-12.7,96.9
33,Colombo,Sri Lanka,Sri Lanka,6.93333,79.85
255,Conakry,Guinea,Guinea,9.51666,-13.71666
21,Crozet Is.,France,France,-46.425,51.87
284,"Cuxhaven, Steubenhoft",Germany,Germany,53.86666,8.71666
253,Dakar,Senegal,Senegal,14.66,-17.44
272,Daru,Papua New Guinea,Papua New Guinea,-9.05,143.2
