SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-cocb,Cocos Island,Australia,-12.12,96.89,cocb,cocb,46.0,171,"1052, 1666, 983",656,2218,cocos,,Costa Rica,Cocos Island
SSC-cocos,Cocos Island,Costa Rica,5.56,-87.05,cocos,coco,,392,,,,cocb,46,Australia,Cocos Island
SSC-cocos,Cocos Island,Costa Rica,5.56,-87.05,cocos,coco,,392,,,,cocos,,Costa Rica,Cocos Island
SSC-coch,Cochin,India,9.97,76.27,coch,coch,32.0,174,438,2067,2438,coch,32,India,Cochin
SSC-cois,Corn Island,Nicaragua,12.33,-83.07,"cois, pcoi",,,,,,,cois,,Nicaragua,Corn Island
SSC-coli,Coliumo,Chile,-36.54,-72.96,"coli, coli2",,,,,,,coli,,Chile,Coliumo
SSC-coli,Coliumo,Chile,-36.54,-72.96,"coli, coli2",,,,,,,coli2,,Chile,Coliumo
SSC-colo,Colombo,Sri Lanka,6.95,79.85,"colb, colo","colb, colo",33.0,115,"1755, 2194, 388, 718",3582,1994,colb,33,Sri Lanka,Colombo
SSC-colo,Colombo,Sri Lanka,6.95,79.85,"colb, colo","colb, colo",33.0,115,"1755, 2194, 388, 718",3582,1994,colo,33,Sri Lanka,Colombo
SSC-como,Comores,Comoros,-11.7,43.25,como,como,,,,,,como,,Comores,Comores
SSC-conc,Concarneau,France,47.87,-3.91,"conc, conc2",conc,,,1301,3189,1751,conc,,France,Concarneau
SSC-const,Constitucion,Chile,-35.36,-72.46,"cons2, const",cons,,,,,,cons2,,Chile,Constitucion
SSC-const,Constitucion,Chile,-35.36,-72.46,"cons2, const",cons,,,,,,const,,Chile,Constitucion
SSC-coqu,Coquimbo,Chile,-29.95,-71.34,"coqu, coqu2",coqu,,,977,,,coqu,,Chile,Coquimbo
SSC-coqu,Coquimbo,Chile,-29.95,-71.34,"coqu, coqu2",coqu,,,977,,,coqu2,,Chile,Coquimbo
SSC-cord,Cordova,United States,60.56,-145.75,"cord, cord2",cord,,583,566,2672,2671,cord,,USA,Cordova
SSC-cord,Cordova,United States,60.56,-145.75,"cord, cord2",cord,,583,566,2672,2671,cord2,,USA,Cordova
SSC-corie,Corinth,Greece,37.95,22.94,corn,corn,,,,,,corn,,Greece,Corinth
SSC-corr,Corral,Chile,-39.89,-73.43,"corr, corr2",corr,,,1057,2654,2653,corr,,Chile,Corral
SSC-corr,Corral,Chile,-39.89,-73.43,"corr, corr2",corr,,,1057,2654,2653,corr2,,Chile,Corral
SSC-coru,La Coruña,Spain,43.37,-8.4,"acor1, cor2, coru",,243.0,830,"1808, 484, 763",618,"2195, 2399, 2400",coru,243,Spain,La Coruña
SSC-cove,Coveñas,Colombia,9.41,-76.21,cove,cove,,,,,,cove,,Colombia,Coveñas
SSC-cpit,Castlepoint,New Zealand,-40.9,176.23,cpit,cpit,,,,,,cpit,,New Zealand,Castlepoint
SSC-cres,Crescent City,United States,41.75,-124.18,"cres, cres2",cres,,556,378,"2711, 3036",2693,cres,,USA,Crescent City
SSC-cres,Crescent City,United States,41.75,-124.18,"cres, cres2",cres,,556,378,"2711, 3036",2693,cres2,,USA,Crescent City
SSC-crnl,Coronel,Chile,-37.03,-73.15,"crnl, crnl2",crnl,,,,,,crnl,,Chile,Coronel
SSC-crnl,Coronel,Chile,-37.03,-73.15,"crnl, crnl2",crnl,,,,,,crnl2,,Chile,Coronel
SSC-crom,Cromer,United Kingdom,52.93,1.3,crom,,,,1632,3245,3244,crom,,UK,Cromer
SSC-crtn,Crotone,Italy,39.08,17.14,CR08,,,,2077,3057,3056,CR08,,Italy,Crotone
SSC-csta,Constanta,Romania,44.16,28.6,"csta, csta2",,,,379,3378,3377,csta,,Romania,Constanta
SSC-csta,Constanta,Romania,44.16,28.6,"csta, csta2",,,,379,3378,3377,csta2,,Romania,Constanta
SSC-cstr,Castro,Chile,-42.48,-73.76,"cstr, cstr2",cstr,,,,,,cstr,,Chile,Castro
SSC-cstr,Castro,Chile,-42.48,-73.76,"cstr, cstr2",cstr,,,,,,cstr2,,Chile,Castro
SSC-curri,Currimao,Philippines,18.02,120.48,curri,curi,,654,2173,,,curri,,Philippines,Currimao
SSC-cuvie,Cape Cuvier Wharf,Australia,-24.22,113.4,cuvie,capc,,,,,,cuvie,,Australia,Cape Cuvier Wharf
SSC-cuxh,Cuxhaven,Germany,53.87,8.72,cuxh,,284.0,825,"222, 7",2509,2510,cuxh,284,Germany,Cuxhaven
SSC-cwfl,Clearwater Beach,United States,27.98,-82.83,"cwfl, cwfl2",cwfl,,773,1638,,,cwfl,,USA,Clearwater Beach
SSC-cwfl,Clearwater Beach,United States,27.98,-82.83,"cwfl, cwfl2",cwfl,,773,1638,,,cwfl2,,USA,Clearwater Beach
SSC-dakar,Dakar,Senegal,14.68,-17.42,dakar,daka,253.0,223,"1726, 1816, 1994, 1995, 1996, 476, 932","2734, 661","2202, 2782",dakar,253,Sénégal,Dakar
SSC-darw,Darwin,Australia,-12.47,130.85,darw,darw,62.0,168,935,2930,2818,darw,62,Australia,Darwin
SSC-davo,Davao,Philippines,7.08,125.63,davo,davo,71.0,372,537,3504,2824,davo,71,Philippines,Davao
SSC-delf,Delfzijl,Netherlands,53.33,6.93,delf,,,,24,,,delf,,Netherlands,Delfzijl
SSC-denh,Den Helder,Netherlands,52.96,4.75,denh,,,,23,,,denh,,Netherlands,Den Helder
SSC-denis,Denis Island,Seychelles,-3.8,55.67,denis,deni,,,,,,denis,,Seychelles,Denis Island
SSC-denn,Dennery,Saint Lucia,13.91,-60.89,stlu2,,,,,,,stlu2,,Saint Lucia,Dennery
SSC-dese,Puerto Deseado,Argentina,-47.75,-65.91,dese,dese,190.0,286,185,"2050, 3567, 946",2562,dese,190,Argentina,Puerto Deseado
SSC-dial,Dauphin Island,United States,30.2,-88.1,"dial, dial2",dial,,763,1156,"2971, 2972, 745",2113,dial,,USA,Dauphin Island
